first_player_1,first_player_2,first_player_3,second_player_1,second_player_2,second_player_3,proportion,count,mutual_proportion
0,2,1,2,0,0,0.831761,2250000,2.993317845206157e-09
0,2,1,2,0,1,0.828778,54000000,7.183962828494776e-08
0,2,1,2,0,2,0.75992,621000000,8.261557252768993e-07
0,2,1,2,1,0,0.828757,51750000,6.884631043974161e-08
0,2,1,2,1,1,0.825784,1242000000,1.6523114505537987e-06
0,2,1,2,1,2,0.757176,14281336800,1.8999369020817507e-05
0,2,1,2,2,0,0.75967,569250000,7.573094148371577e-07
0,2,1,2,2,1,0.756944,13660488000,1.8173414446499807e-05
0,2,1,2,2,2,0.694053,157011091200,0.00020888182274855617
0,2,2,0,0,1,0.831742,2070000,2.7538524175896643e-09
0,2,2,0,0,2,0.762411,22770000,3.0292376593486305e-08
0,2,2,0,1,0,0.831742,2070000,2.7538524175896643e-09
0,2,2,0,1,1,0.828739,47610000,6.333860560456228e-08
0,2,2,0,1,2,0.759657,523710000,6.967246616501851e-07
0,2,2,0,2,0,0.762408,22770000,3.0292376593486305e-08
0,2,2,0,2,1,0.759655,523710000,6.967246616501851e-07
0,2,2,0,2,2,0.69633,5760810000,7.663971278152036e-06
0,2,2,1,0,0,0.831763,2250000,2.993317845206157e-09
0,2,2,1,0,1,0.82876,51750000,6.884631043974161e-08
0,2,2,1,0,2,0.759677,569250000,7.573094148371577e-07
0,2,2,1,1,0,0.828759,51750000,6.884631043974161e-08
0,2,2,1,1,1,0.825767,1190250000,1.583465140114057e-06
0,2,2,1,1,2,0.756933,13092750000,1.7418116541254628e-05
0,2,2,1,2,0,0.759674,569250000,7.573094148371577e-07
0,2,2,1,2,1,0.756931,13092750000,1.7418116541254628e-05
0,2,2,1,2,2,0.693833,144004449600,0.00019157826167856472
0,2,2,2,0,0,0.762674,27000000,3.591981414247388e-08
0,2,2,2,0,1,0.75992,621000000,8.261557252768993e-07
0,2,2,2,0,2,0.696574,6831000000,9.087712978045892e-06
0,2,2,2,1,0,0.75992,621000000,8.261557252768993e-07
0,2,2,2,1,1,0.757175,14283000000,1.9001581681368684e-05
0,2,2,2,1,2,0.694058,157097199600,0.00020899637821981934
0,2,2,2,2,0,0.696571,6831000000,9.087712978045892e-06
0,2,2,2,2,1,0.694055,157098636000,0.00020899828915393174
0,2,2,2,2,2,0.636198,1727289230400,0.002297922523194991
1,0,0,0,0,0,0.996414,25,3.3259087168957297e-14
1,0,0,0,0,1,0.992842,625,8.314771792239325e-13
1,0,0,0,0,2,0.910377,7500,9.97772615068719e-12
1,0,0,0,1,0,0.992841,625,8.314771792239325e-13
1,0,0,0,1,1,0.989282,15625,2.0786929480598312e-11
1,0,0,0,1,2,0.907112,187500,2.4944315376717975e-10
1,0,0,0,2,0,0.910374,7500,9.97772615068719e-12
